PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,FISCAL_YEAR,OBJECTID
PO556681,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2009230:COATS, CHEF'S, TWILL, 65% POLYESTER, 35% COTTON, DURA-PRESS",259,2016-12-20T00:00:00.000Z,Imageone Uniforms,2017,307240
PO555053,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",139.11,2016-11-22T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,307241
PO555053,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",9.53,2016-11-22T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,307242
PO554803,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,Janitorial Management Services,78.04,2016-11-18T00:00:00.000Z,General Merchandise Supplies,2017,307243
PO555102-V2,OFFICE OF ADMINISTRATIVE HEARINGS,POSTAGE STAMPS,30000,2016-12-06T00:00:00.000Z,PITNEY BOWES,2017,307244
PO554987,DEPARTMENT OF EMPLOYMENT SERVICES,9525900:Human Services (Not Otherwise Classified),11250,2016-11-22T00:00:00.000Z,CHI Squared,2017,307245
PO554386,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,3900,2016-11-14T00:00:00.000Z,Run Hope Work_1,2017,307246
PO552687,DEPARTMENT OF GENERAL SERVICES,"9885259:PLANTING SHRUBS. THIS WORK SHALL CONSIST OF DIGGING AND PREPARING PLANT HOLES, AND OF FURNISHING, TRANSPORTING AND PLANTING SHRUBS.",8000,2016-10-27T00:00:00.000Z,Daylily Landscaping LLC,2017,307247
PO535628-V3,OFFICE OF CHIEF FINANCIAL OFFICER,9625800:Professional Services (Not Otherwise Classified),15287,2016-10-26T00:00:00.000Z,SHARP ELECTRONICS CORPORATION,2017,307248
PO550619,DC PUBLIC LIBRARY,9885254:LANDSCAPE REPLACEMENT SERVICES,4025,2016-10-03T00:00:00.000Z,Daylily Landscaping LLC,2017,307249
PO555330,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BATTERIES, ALKALINE",19.99,2016-11-29T00:00:00.000Z,METROPOLITAN OFFICE PRODUCTS,2017,307250
PO534693-V2,OFFICE OF CHIEF FINANCIAL OFFICER,9180600:Administrative Consulting,1397.38,2016-10-18T00:00:00.000Z,"Profituity, LLC",2017,307251
PO549999,DEPARTMENT OF BEHAVIORAL HEALTH,9589600:Waste Management Services,666.66,2016-10-03T00:00:00.000Z,STERICYCLE INC,2017,307252
PO553810,COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",3500,2016-11-04T00:00:00.000Z,Jenny Walton,2017,307253
PO555751,DEPARTMENT OF CORRECTIONS,"4505527:LOCKS, CELL DOOR",3500,2016-12-05T00:00:00.000Z,"ISI CONTROLS, LTD",2017,307254
PO552822,DEPARTMENT ON DISABILITY SERVICES,"9527700:Research and Evaluation, Human Services (Including Productivity Audits)",12500,2016-10-27T00:00:00.000Z,"Strong Solutions, LLC",2017,307255
PO548001-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,"2851065:RACKS, CABLE",46982.56,2016-10-27T00:00:00.000Z,SAIC_1,2017,307256
PO555894,OFFICE OF CHIEF TECHNOLOGY OFFICER,"2851065:RACKS, CABLE",438.12,2016-12-06T00:00:00.000Z,GRAYBAR ELECTRIC CO INC,2017,307257
PO555053,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",10.59,2016-11-22T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,307258
PO553747,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATIONAL/TRAINING,14000,2016-11-04T00:00:00.000Z,READING PARTNERS,2017,307259
PO555053,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",97.92,2016-11-22T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,307260
PO550285,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9201850:LICENSE, COMPUTER-AIDED DESIGN SOFTWARE",2700,2016-10-03T00:00:00.000Z,THINKMAP INC,2017,307261
PO553740,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247100:School Operation and Management Services,42.97,2016-11-04T00:00:00.000Z,TEMPO BOOKSTORE,2017,307262
PO552946,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0703000:School Bus Chassis,900,2016-10-28T00:00:00.000Z,JC CHARTERS AND TOURS LLC,2017,307263
PO551577,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9628700:Travel, Local (Provided by Third Party)",1075,2016-10-14T00:00:00.000Z,"Miles Away Charter, LLC",2017,307264
PO551426-V3,DEPARTMENT OF EMPLOYMENT SERVICES,9188300:Organizational Development Consulting,2232.24,2016-12-07T00:00:00.000Z,DIGI DOCS INC DOCUMENT MGERS,2017,307265
PO535956-V4,OFFICE OF CHIEF FINANCIAL OFFICER,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",133727.44,2016-11-01T00:00:00.000Z,"INTELLIPOINT CONSULTING, INC",2017,307266
PO531621-V3,DEPARTMENT OF BEHAVIORAL HEALTH,"2083744:SOFTWARE, MICROCOMPUTER, DATABASE, IBM COMPATIBLE, LASTEST RELEASED VERSION",7692,2016-10-27T00:00:00.000Z,Technidata America Medical,2017,307267
PO551000,DC PUBLIC LIBRARY,"4851110:CLEANER AND DETERGENT, PASTE (SOFT VEGETABLE SOAP)",60073.15,2016-10-06T00:00:00.000Z,General Merchandise Supplies,2017,307268
PO541230-V2,DEPARTMENT OF FOR-HIRE VEHICLES,9625800:Professional Services (Not Otherwise Classified),106840,2016-10-03T00:00:00.000Z,TELECOMMUNICATIONS DEV CORP,2017,307269
PO552294-V2,DEPARTMENT OF CORRECTIONS,9522000:Correctional,50000,2016-11-16T00:00:00.000Z,CORRECTIONS CORPORATION OF,2017,307270
PO553289,OFFICE OF THE ATTORNEY GENERAL,9181400:Appraisals Consulting,9130,2016-11-01T00:00:00.000Z,PricewaterhouseCoopers,2017,307271
PO556006,DEPART OF YOUTH REHABILITATION SERVICES,JANITORIAL SERVICES,14500,2016-12-07T00:00:00.000Z,G-Sida General Services,2017,307272
PO556070,OFFICE OF CHIEF FINANCIAL OFFICER,9181400:Appraisals Consulting,76500,2016-12-08T00:00:00.000Z,ROBERT J GLOUDEMANS,2017,307273
PO553283,DC PUBLIC LIBRARY,"9981800:Books, All Types (Library, School, etc.)",7920,2016-11-01T00:00:00.000Z,"Actrace, LLC",2017,307274
PO535350-V4,DC PUBLIC LIBRARY,9147900:Structural Steel,63949.2,2016-12-12T00:00:00.000Z,COAKLEY & WILLIAMS CONST.,2017,307275
PO556320,OFFICE OF CHIEF TECHNOLOGY OFFICER,"2851065:RACKS, CABLE",448.2,2016-12-13T00:00:00.000Z,THE PRESIDIO CORPORATION,2017,307276
PO554593,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"5807000:Recycled Musical Instruments, Accessories and Supplies",21.95,2016-11-16T00:00:00.000Z,MUSIC IN MOTION,2017,307277
PO555965,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,10483.51,2016-12-07T00:00:00.000Z,Ritas Ice,2017,307278
PO554505,FIRE AND EMERGENCY MEDICAL SERVICES,9986700:Medical and Dental Equipment and Supplies,18190,2016-11-16T00:00:00.000Z,Total Healthcare Solutions,2017,307279
PO550208-V2,DEPARTMENT OF BEHAVIORAL HEALTH,9812464:RENTAL OF RECYCLING COLLECTION EQUIPMENT AND CONTAINERS,2.97,2016-11-18T00:00:00.000Z,"21st Century Security, LLC",2017,307280
PO553900,D.C. DEPARTMENT OF HUMAN RESOURCES,EDUCATIONAL TRAINING CONSULTANT SERVICES,189665,2016-11-07T00:00:00.000Z,SKILLSOFT CORPORATION,2017,307281
PO555837,COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",6000,2016-12-06T00:00:00.000Z,ENRIQUE O. AVILES,2017,307282
PO555783,DEPARTMENT OF TRANSPORTATION,"IMPROVEMENTS, ROAD AND INTERSECTION",1071365.48,2016-12-05T00:00:00.000Z,VERIZON,2017,307283
PO551806,OFFICE OF THE CHIEF MEDICAL EXAMINER,ANALYSIS SERVICES,5100,2016-10-18T00:00:00.000Z,"NATIONAL MEDICAL SERVICES,INC.",2017,307284
PO554379-V2,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,300,2016-12-01T00:00:00.000Z,Opportunities Industrial Center,2017,307285
PO556048,OFFICE OF LOTTERY AND CHARITABLE GAMES,"9857400:Software, Computer, Rental or Lease",265144,2016-12-08T00:00:00.000Z,MS TECHNOLOGIES CORP.,2017,307286
PO554543,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,3500,2016-11-16T00:00:00.000Z,Opportunities Industrial Center,2017,307287
PO556129,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,300,2016-12-09T00:00:00.000Z,Opportunities Industrial Center,2017,307288
PO553222,OFFICE OF THE INSPECTOR GENERAL,CLOUD COMPUTING SERVICES,246284,2016-10-31T00:00:00.000Z,"Datapipe, Inc.",2017,307289
PO534196-V4,OFFICE OF CHIEF FINANCIAL OFFICER,9462520:AUTOMATED FUND TRANSFER SERVICES,390798.43,2016-10-28T00:00:00.000Z,Citibank N.A.,2017,307290
PO556965,"DEPART OF INSURANCE,SECURITIES & BANKING","9203700:Networking Services (Including Installation, Security, and Maintenance )",27061,2016-12-27T00:00:00.000Z,DOCUMENT SYSTEMS INC,2017,307291
PO554448,DEPARTMENT OF HUMAN SERVICES,"SUBSCRIPTIONS, SOFTWARE LICENSING, CLOUD BASED",218329.4,2016-11-15T00:00:00.000Z,Cradle Systems,2017,307292
PO551650,DEPARTMENT ON DISABILITY SERVICES,9529300:Try-out Employment,2500,2016-10-17T00:00:00.000Z,"Metro Lab, LLC",2017,307293
PO549845,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2045446:MICROCOMPUTERS, LAPTOP",2398,2016-10-03T00:00:00.000Z,APPLE COMPUTER INC,2017,307294
PO553767,OFFICE OF CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",16827.48,2016-11-04T00:00:00.000Z,Clearpath Solutions Group,2017,307295
PO555053,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"SUPPLIES, SCHOOL, VARIOUS (NOT OTHERWISE CLASSIFIED)",11.84,2016-11-22T00:00:00.000Z,AMERICAN EXPRESS COMPANY,2017,307296
PO531304-V4,OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,250,2016-10-12T00:00:00.000Z,NEAL R GROSS & CO INC,2017,307297
PO551912,OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,1300,2016-10-19T00:00:00.000Z,NEAL R GROSS & CO INC,2017,307298
PO555872,DEPARTMENT OF PUBLIC WORKS,"4058439:OIL, ELEVATOR, PARAFFIN BASE",1150,2016-12-06T00:00:00.000Z,COLLINS ELEVATOR SERVICE  INC,2017,307299
PO554937,DEPARTMENT OF EMPLOYMENT SERVICES,EDUCATIONAL TRAINING CONSULTANT SERVICES,750,2016-11-21T00:00:00.000Z,"Destined For Greatness, LLC",2017,307300
PO535842-V2,OFFICE OF LOTTERY AND CHARITABLE GAMES,9180400:Accounting/Auditing/Budget Consulting,181.33,2016-10-18T00:00:00.000Z,UNITED PARCEL SERVICE,2017,307301
PO555940,FIRE AND EMERGENCY MEDICAL SERVICES,"2083720:SOFTWARE, MICROCOMPUTER, DATABASE, APPLE COMPATIBLE, LATEST RELEASE OR VERSION LISTED",21010,2016-12-07T00:00:00.000Z,TECKNOMIC LLC,2017,307302
PO555049,INAUGURAL EXPENSES,"ARCHITECTURAL SERVICES, PROFESSIONAL",148450,2016-11-22T00:00:00.000Z,MCKISSACK & MCKISSACK OF WASH,2017,307303
PO552007,OFFICE OF THE CHIEF MEDICAL EXAMINER,"1751375:CHEMICALS, LABORATORY, REAGENTS",10000,2016-10-20T00:00:00.000Z,ORASURE TECHNOLOGIES,2017,307304
PO554594,COMMISSION ON ARTS & HUMANITIES,"9620700:Arts Services (Cultural, Design, Visual, etc.)",13200,2016-11-16T00:00:00.000Z,THOMAS CIRCLE SINGERS,2017,307305
PO555653,DC PUBLIC LIBRARY,"DEFIBRILLATOR, EXTERNAL, AUTOMATIC (AED), INCLUDING PARTS AND ACCESSORIES",5166.67,2016-12-02T00:00:00.000Z,The George Washington University Medical Faculty Associates,2017,307306
PO553261,DC PUBLIC LIBRARY,"2086775:SOFTWARE, MICROCOMPUTER, SUBSCRIPTIONS",63883.46,2016-11-01T00:00:00.000Z,Bell Techlogix,2017,307307
