,Unnamed: 0,addedsqft,applieddate,coissueddate,completeddate,contractoraddress1,contractoraddress2,contractorcity,contractorcompanydesc,contractorcompanyname,contractoremail,contractorfullname,contractorlicnum,contractorphone,contractorstate,contractorstatelic,contractortrade,contractortrademapped,contractorzip,description,estprojectcost,expiresdate,fee,housingunits,issueddate,latitude,longitude,lastupdated,link,masterpermitnum,originaladdress1,city,state,originalzip,pin,permitclass,permitclassmapped,permitnum,permittype,permittypedesc,permittypemapped,proposedused,publisher,status,statuscurrentmapped,statusdate,totalsqft,workclass,workclassmapped,id,issuedYear,issuedMonth,issuedDay
0,0,,2017-07-13,,,1800 W ASHTON BOULEVARD,500,LEHI,,VIVINT SOLAR DEVELOPER LLC,na,Cody Oram ,973756.0,855 877-2974,UT,CA,CSLB Contractor,,84043.0,"CROSS STREET: 14th ST 

Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).
 
This Permit does not exempt any existing structures from compliance with applicable building code and zoning ordinance requirements.
 
PerSection 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5 ft. above the highest point of the existing roof.",,,0.0,0.0,2017-07-13,33.03656551234619,-116.87326652268587,2017-07-14,https://publicservices.sdcounty.ca.gov/citizenaccess/Cap/CapDetail.aspx?Module=Building&amp;TabName;=Building&amp;capID1;=17CAP&amp;capID2;=00000&amp;capID3;=01PLH,,1395 LA HAINA ST ,RAMONA,CA,92065.0,,Residential Alteration-Addn,Residential,PDS2017-RESALT-005662,Residential Alteration or Addition - Plan Check-Permit,8002 - REN - Solar Photovoltaic Roof Mount Residential - Online,,"CROSS STREET: 14th ST 

Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).
 
This Permit does not exempt any existing structures from compliance with applicable building code and zoning ordinance requirements.
 
PerSection 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5 ft. above the highest point of the existing roof.",San Diego - Prod 7.3.3.8.1,Issued,Permit Issued,2017-07-13,,Existing,Existing,81266,2017.0,7.0,3.0
1,1,,2017-03-10,2017-05-15,2017-05-16,77 RIO ROBLES,,SAN JOSE,,SUNPOWER CORPORATION SYSTEMS,,,890895.0,941 720-3850,CA,CA,CSLB Contractor,,95134.0,"CROSS STREET: Country Club Dr 

Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).
 
PerSection 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5 ft. above the highest point of the existing roof.",,,0.0,0.0,2017-03-10,33.102682877405144,-117.12915539649096,2017-05-17,https://publicservices.sdcounty.ca.gov/citizenaccess/Cap/CapDetail.aspx?Module=Building&amp;TabName;=Building&amp;capID1;=17CAP&amp;capID2;=00000&amp;capID3;=00L44,,2741 OVERLOOK POINT DR ,ESCONDIDO,CA,92029.0,,Residential Alteration-Addn,Residential,PDS2017-RESALT-001720,Residential Alteration or Addition - Plan Check-Permit,8002 - REN - (Online) RES Roof Mt Solar PV,Electrical,"CROSS STREET: Country Club Dr 

Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).
 
PerSection 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5 ft. above the highest point of the existing roof.",San Diego - Prod 7.3.3.8.1,Completed,Permit Finaled,2017-05-16,,Existing,Existing,4,2017.0,3.0,4.0
2,2,,2017-03-10,2017-04-03,2017-04-04,9520 PADGETT STREET SUITE 107,,SAN DIEGO,,SOLARE ENERGY INC,john@inallproducts.com,Rich Vallee ,941109.0,858 547-4300,CA,CA,CSLB Contractor,,92126.0,"CROSS STREET: Country Club Dr 

Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).
 
PerSection 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5 ft. above the highest point of the existing roof.",,,0.0,0.0,2017-03-10,33.125687062519745,-117.13409421967005,2017-04-05,https://publicservices.sdcounty.ca.gov/citizenaccess/Cap/CapDetail.aspx?Module=Building&amp;TabName;=Building&amp;capID1;=17CAP&amp;capID2;=00000&amp;capID3;=00KZR,,2902 HILL VALLEY DR ,ESCONDIDO,CA,92029.0,228-311-29-00,Residential Alteration-Addn,Residential,PDS2017-RESALT-001694,Residential Alteration or Addition - Plan Check-Permit,8002 - REN - (Online) RES Roof Mt Solar PV,Electrical,"CROSS STREET: Country Club Dr 

Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).
 
PerSection 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5 ft. above the highest point of the existing roof.",San Diego - Prod 7.3.3.8.1,Completed,Permit Finaled,2017-04-04,,Existing,Existing,3,2017.0,3.0,4.0
3,3,,2017-03-10,2017-04-12,2017-04-13,8137 WINTER GARDENS BLVD,,LAKESIDE,,K A CARLISLE INC,sky@precisi9onelectricsolar.com,,950065.0,619 390-2991,CA,CA,CSLB Contractor,,92040.0,"CROSS STREET: Castle Ct Dr 

Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).
 
PerSection 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5 ft. above the highest point of the existing roof.",,,0.0,0.0,2017-03-10,32.85322252736555,-116.91881027648918,2017-04-14,https://publicservices.sdcounty.ca.gov/citizenaccess/Cap/CapDetail.aspx?Module=Building&amp;TabName;=Building&amp;capID1;=17CAP&amp;capID2;=00000&amp;capID3;=00L09,,9613 LOS COCHES RD ,LAKESIDE,CA,92040.0,,Residential Alteration-Addn,Residential,PDS2017-RESALT-001702,Residential Alteration or Addition - Plan Check-Permit,8002 - REN - (Online) RES Roof Mt Solar PV,Electrical,"CROSS STREET: Castle Ct Dr 

Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).
 
PerSection 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5 ft. above the highest point of the existing roof.",San Diego - Prod 7.3.3.8.1,Completed,Permit Finaled,2017-04-13,,Existing,Existing,2,2017.0,3.0,4.0
4,4,,2015-06-23,,,3301 N THANKSGIVING WAY,STE 500,LEHI,,VIVINT SOLAR DEVELOPER LLC,MAUKER@VIVINTSOLAR.COM,Cody Oram ,973756.0,855 877-2974,UT,CA,CSLB Contractor,,84043.0,"CROSS STREET: BASSETT WAY 

Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).
 
PerSection 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5 ft. above the highest point of the existing roof.",,,0.0,0.0,2015-06-23,33.013377338266515,-116.81755440547435,2017-06-24,https://publicservices.sdcounty.ca.gov/citizenaccess/Cap/CapDetail.aspx?Module=Building&amp;TabName;=Building&amp;capID1;=15CAP&amp;capID2;=00000&amp;capID3;=018B6,,16334 SCARBERY RD ,RAMONA,CA,92065.0,,Residential Alteration-Addn,Residential,PDS2015-RESALT-005475,Residential Alteration or Addition - Plan Check-Permit,8002 - REN - (Online) RES Roof Mt Solar PV,Electrical,"CROSS STREET: BASSETT WAY 

Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).
 
PerSection 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5 ft. above the highest point of the existing roof.",San Diego - Prod 7.3.3.8.1,Issued Expired,Permit Expired,2017-06-23,,Existing,Existing,26300,2015.0,6.0,1.0
5,5,,2017-05-12,2017-07-09,2017-07-10,,,,,,,,,,,,,,,"CROSS STREET: Alexander 

Description of Work: Existing Residential Main Electrical Service Upgrade - 200A - (Online Permit)

*The scope of work is limited to upgrade of the existing main service panel.  No new sub-panels or relocation permitted.",,,247.0,0.0,2017-05-12,33.08265549152517,-117.0785280642681,2017-07-11,https://publicservices.sdcounty.ca.gov/citizenaccess/Cap/CapDetail.aspx?Module=Building&amp;TabName;=Building&amp;capID1;=17CAP&amp;capID2;=00000&amp;capID3;=016T5,,520 WOODLAND HILLS DR ,ESCONDIDO,CA,92029.0,,Residential Alteration-Addn,Residential,PDS2017-RESALT-003648,Residential Alteration or Addition - Plan Check-Permit,8070 - ACC - (Online) Electrical - Existing Main Svc Upgrade (Max 400A),Electrical,"CROSS STREET: Alexander 

Description of Work: Existing Residential Main Electrical Service Upgrade - 200A - (Online Permit)

*The scope of work is limited to upgrade of the existing main service panel.  No new sub-panels or relocation permitted.",San Diego - Prod 7.3.3.8.1,Completed,Permit Finaled,2017-07-10,,Existing,Existing,78782,2017.0,5.0,4.0
6,6,,2017-03-10,,,3055 CLEARVIEW,ATTN ZOE STEELE,SAN MATEO,,SOLARCITY CORPORATION,,Kelsey F Decker ,888104.0,650 963-5100,CA,CA,CSLB Contractor,,94402.0,"CROSS STREET: Gopher Canyon rd  

Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).
 
PerSection 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5 ft. above the highest point of the existing roof.",,,0.0,0.0,2017-03-10,33.25266754028276,-117.21981118843149,2017-03-12,https://publicservices.sdcounty.ca.gov/citizenaccess/Cap/CapDetail.aspx?Module=Building&amp;TabName;=Building&amp;capID1;=17CAP&amp;capID2;=00000&amp;capID3;=00L05,,1418 CARRIO DR ,VISTA,CA,92084.0,,Residential Alteration-Addn,Residential,PDS2017-RESALT-001698,Residential Alteration or Addition - Plan Check-Permit,8002 - REN - (Online) RES Roof Mt Solar PV,Electrical,"CROSS STREET: Gopher Canyon rd  

Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).
 
PerSection 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5 ft. above the highest point of the existing roof.",San Diego - Prod 7.3.3.8.1,Issued,Permit Issued,2017-03-10,,Existing,Existing,7,2017.0,3.0,4.0
7,7,,2017-05-12,,,2455 PACES FERRY RD C-11 HSC,,ATLANTA,,HOME DEPOT U S A INC,,,602331.0,404 433-8211,GA,CA,CSLB Contractor,,30339.0,"CROSS STREET: Ashmore Ave 
 
Description of Work:HRA (Online Permit) WINDOWS AND/OR SLIDING GLASS DOOR REPLACEMENTS WITH THE SAME NET OPENABLE AREA. 
 
(Replacement windows must meet State of California Energy Code requirements for U-Factor and SHGC for Package D of the applicable climate zone (see PDS #409). Also, per County Building Code 704A.3.2.2; windows shall be dual-glazed with a minimum of one tempered pane, and glazing frames made of vinyl shall have welded corners and metal reinforcing in the interlock area.)",,,0.0,0.0,2017-05-12,32.713560213985964,-117.01820659183173,2017-05-13,https://publicservices.sdcounty.ca.gov/citizenaccess/Cap/CapDetail.aspx?Module=Building&amp;TabName;=Building&amp;capID1;=17CAP&amp;capID2;=00000&amp;capID3;=016RQ,,1045 WOODHAVEN DR ,SPRING VALLEY,CA,91977.0,,Residential Alteration-Addn,Residential,PDS2017-RESALT-003624,Residential Alteration or Addition - Plan Check-Permit,3309 - RES - (Online) Glazing Replacement - No Net Area Change,Building,"CROSS STREET: Ashmore Ave 
 
Description of Work:HRA (Online Permit) WINDOWS AND/OR SLIDING GLASS DOOR REPLACEMENTS WITH THE SAME NET OPENABLE AREA. 
 
(Replacement windows must meet State of California Energy Code requirements for U-Factor and SHGC for Package D of the applicable climate zone (see PDS #409). Also, per County Building Code 704A.3.2.2; windows shall be dual-glazed with a minimum of one tempered pane, and glazing frames made of vinyl shall have welded corners and metal reinforcing in the interlock area.)",San Diego - Prod 7.3.3.8.1,Issued,Permit Issued,2017-05-12,,Existing,Existing,78783,2017.0,5.0,4.0
8,8,,2017-03-10,,,6056 EAST BASELINE ROAD #155,,MESA,,CALIFORNIA DELTA MECHANICAL INC,GALINA@DELTAMECHANICAL.COM,Galina Pavlova ,811114.0,480 898-0007,AZ,CA,CSLB Contractor,,85206.0,"CROSS STREET: Indian Springs Drive  
 
Description of Work: HRA (Online Permit) WATER HEATER REPLACEMENT, NO MODIFICATIONS OR ALTERNATIONS TO EXISTING SYSTEM",,,0.0,0.0,2017-03-10,32.71902344257768,-116.88188133265983,2017-03-12,https://publicservices.sdcounty.ca.gov/citizenaccess/Cap/CapDetail.aspx?Module=Building&amp;TabName;=Building&amp;capID1;=17CAP&amp;capID2;=00000&amp;capID3;=00L15,,13831 MARBOK WAY ,JAMUL,CA,91935.0,,Residential Alteration-Addn,Residential,PDS2017-RESALT-001707,Residential Alteration or Addition - Plan Check-Permit,8015 - ACC - (Online) Plumbing - HRA Water Heater R&amp;R;,Plumbing,"CROSS STREET: Indian Springs Drive  
 
Description of Work: HRA (Online Permit) WATER HEATER REPLACEMENT, NO MODIFICATIONS OR ALTERNATIONS TO EXISTING SYSTEM",San Diego - Prod 7.3.3.8.1,Issued,Permit Issued,2017-03-10,,Existing,Existing,9,2017.0,3.0,4.0
9,9,,2017-02-08,,,407 W IMPERIAL HWY STE H-114,,BREA,,GREENIFY,,,1007894.0,562 922-9361,CA,CA,CSLB Contractor,,92821.0,"Cross street: Ramona Oaks Rd

Description of Work: 200 amp electrical meter upgrade for (e) SFD",,,247.0,0.0,2017-02-08,,,2017-03-12,https://publicservices.sdcounty.ca.gov/citizenaccess/Cap/CapDetail.aspx?Module=Building&amp;TabName;=Building&amp;capID1;=17CAP&amp;capID2;=00000&amp;capID3;=00ANB,,24920 VIA LOPEZ CT ,RAMONA,CA,92065.0,288-597-05-00,Residential Alteration-Addn,Residential,PDS2017-RESALT-000912,Residential Alteration or Addition - Plan Check-Permit,8000 - ACC - Electrical Only,Electrical,"Cross street: Ramona Oaks Rd

Description of Work: 200 amp electrical meter upgrade for (e) SFD",San Diego - Prod 7.3.3.8.1,Issued,Permit Issued,2017-02-08,,Existing,Existing,1042,2017.0,2.0,2.0
