,AccountNumber,AccountStatus,AccountStatusDescription,Address,BusinessDescription,BusinessName,City,CouncilDistrict,Date,EffectiveDate,EmployeeRange,HomeBasedBusiness,latitude,longitude,NumberOfEmployees,SIC,StartDate,State,Status,ZIPcode
2,89031,AC,Active Status,716  N LIBERTY ST,Jewelry Sales/Design/Repair,MISSOURI FREEDOM FUND,INDEPENDENCE,1,2012-12-28,11/30/2016,0-10,YES,39.0973205566406,-94.4340744018555,0,5944,11/5/2009,MO,RENEWAL,64050
3,5596,AC,Active Status,9514  E 23RD ST S C,Auto/Truck Sales/Used,A & A AUTO SALES & SERVICE,INDEPENDENCE,1,2012-09-12,4/30/2017,0-10,NO,39.0816116333008,-94.466926574707,0,5521,4/8/1977,MO,RENEWAL,64052
4,5596,AC,Active Status,9514  E 23RD ST S C,Auto/Truck Sales/Used,A & A AUTO SALES & SERVICE,INDEPENDENCE,1,2012-09-12,4/30/2017,0-10,NO,39.0816116333008,-94.466926574707,0,5521,4/8/1977,MO,RENEWAL,64052
5,5596,AC,Active Status,9514  E 23RD ST S C,Auto/Truck Sales/Used,A & A AUTO SALES & SERVICE,INDEPENDENCE,1,2012-09-12,4/30/2017,0-10,NO,39.0816116333008,-94.466926574707,0,5521,4/8/1977,MO,RENEWAL,64052
6,82305,AC,Active Status,11014  E WINNER RD,Gift/Novelty/Specialty Items,A SECRET GARDEN,INDEPENDENCE,1,2012-12-12,12/31/2016,0-10,NO,39.0879745483398,-94.4476089477539,0,5947A,12/21/2004,MO,RENEWAL,64052
8,36875,AC,Active Status,3107  N UNION ST,Secretarial/Word Processing Service,ACE SECRETARIAL OFFICE SOLUTIONS,INDEPENDENCE,1,2013-02-05,11/30/2016,0-10,YES,39.1231002807617,-94.4218673706055,0,7338,11/1/1997,MO,RENEWAL,64050
9,2892,AC,Active Status,1113  S FULLER AVE,Alarm/Security/Warning Systems,"ACTION ALARM, INC.",INDEPENDENCE,1,2012-05-04,4/30/2017,0-10,NO,39.080623626709,-94.4337310791016,0,7382,3/10/1980,MO,RENEWAL,64050
11,39125,AC,Active Status,11205  E US 24 HWY,Loans-Short Term,ADVANCE AMERICA CASH ADV CNTR OF MO,INDEPENDENCE,1,2012-08-24,8/31/2016,0-10,NO,39.1019668579102,-94.4439697265625,0,6099,8/20/1998,MO,RENEWAL,64054
12,8285,AC,Active Status,10401  E US 24 HWY,Auto Repair/Restoration/Sales,AJAX AUTO INC,INDEPENDENCE,1,2012-05-03,4/30/2017,0-10,NO,39.1023216247559,-94.4550323486328,0,7538EC,5/1/1991,MO,RENEWAL,64053
13,62196,AC,Active Status,1109  S FULLER AVE  B,Auto Sales/Wholesale Only,AL HERN- WHOLESALE ONE AUTO,INDEPENDENCE,1,2012-04-13,1/31/2017,0-10,NO,39.0808143615723,-94.433723449707,0,5012,1/31/2005,MO,RENEWAL,64050
14,32720,AC,Active Status,13400  E 12TH TERR N,Lawn/Landscape/Tree Services,ALAN D MAPEL,INDEPENDENCE,1,2013-02-01,1/31/2017,0-10,YES,39.1282806396484,-94.4154663085938,0,0782B,1/2/1996,MO,RENEWAL,64050
