,address,business_dba,business_type,city,latitude,longitude,zip_code
0,5805 17TH STREET ,ONE STOP SHOP,PACKAGE,Kansas City,39.090294,-94.51457099999999,64126
1,3731 MAIN STREET ,MISSOURI TITLE LOANS 2,SHORT TERM LOAN,Kansas City,39.059078,-94.585915,64111
2,1823 39TH STREET,"JIMMY'S JIGGER/JAZZ, A LOUISIANA KICTHEN",RESTAURANT-BAR,Kansas City,39.057288,-94.606535,64111
3,2636 VAN BRUNT BLVD,7-ELEVEN STORE #18711C,PACKAGE,Kansas City,39.076321,-94.520576,64127
4,1700 E 18TH STREET ,KANSAS CITY BLUES JUKE HOUSE,RESTAURANT-BAR,Kansas City,39.091195,-94.562012,64108
5,1447 INDEPENDENCE ,I PHO TOWER.,RESTAURANT-BAR,Kansas City,39.106703,-94.56267199999999,64106
6,1800 BENTON AVENUE,BENTON MARKET & GAS,PACKAGE,Kansas City,39.090695000000004,-94.549674,64127
7,7932 HALSEY STREET ,IRA COLLINS,TLS VEHICLE,Kansas City,38.983891,-94.724298,66215
8,1617 GENESSEE STREET ,VOLTAIRE,RESTAURANT-BAR,Kansas City,39.093989,-94.604936,64102
9,13851 MADISON ,MERCEDES BENZ OF KANSAS CITY,TIRE DEALER,Kansas City,38.87616,-94.605958,13851
10,700 ENGLEWOOD ROAD ,NTB #676,TIRE DEALER,Kansas City,39.195808,-94.592391,64118
11,8200 E BANNISTER ROAD ,L.P.'S AUTOMOTIVE,TIRE DEALER,Kansas City,38.951758,-94.49364,64134
12,1205 E 85TH STREET,BB'S LAWNSIDE BAR-B-QUE,RESTAURANT-BAR,Kansas City,38.973365,-94.575186,64131
13,2640 BROOKLYN ,"TOP SPOT, THE",PACKAGE,Kansas City,39.077571999999996,-94.55711600000001,64127
14,1305 NE 74TH STREET ,SAM'S TRANSPORTATION,TLS VEHICLE,Kansas City,39.22703,-94.56364599999999,64118
15,340 WARD PARKWAY ,SEASONS 52,RESTAURANT-BAR,Kansas City,39.040677,-94.59089300000001,64112
16,1000 W 39TH ,Q39,RESTAURANT-BAR,Kansas City,39.057066999999996,-94.598479,64111
17,9701 N CONANT AVENUE ,EXECUTIVE LIMO,TLS VEHICLE,Kansas City,39.267951000000004,-94.67615500000001,64153
18,3300 PENNSYLVANIA AVENUE,BROWNES MARKET & DELI,RESTAURANT-BAR,Kansas City,39.067554,-94.592501,64111
19,319 E 55TH STREET ,UNDERDOG WINE CO.,PACKAGE,Kansas City,39.027508000000005,-94.583897,64113
20,1300 W 12TH STREET ,"EDGE OF HELL, THE",AMUSEMENT,Kansas City,39.100738,-94.60011899999999,64101
21,2345 MCGEE ,SHERATON KC GIFT SHOP,PACKAGE,Kansas City,39.085018,-94.580455,64108
22,6840 E FRONT STREET ,WAFFLE HOUSE #1006,AMUSEMENT DEVICE EXHIBITOR,Kansas City,39.130288,-94.50206,64120
23,1681 N TOPPING AVENUE ,LOHR DISTRIBUTING COMPANY,WHOLESALER,Kansas City,39.13896,-94.513743,64120
24,ONE ROYAL WAY ,KAUFFMAN STADIUM-(ARAMARK SPORTS & ENTERTAINMENT SERVICES),RESTAURANT-BAR,Kansas City,39.051497,-94.482822,64129
25,7115 WYANDOTTE STREET ,HAFKEMEYER MOTORS,TIRE DEALER,Kansas City,38.998729,-94.591476,64114
26,5200 PENNSYLVANIA ,KANSAS CITY ROSE SOCIETY,NON PROFIT ORGINIZATION,Kansas City,39.037231,-94.594371,64112
27,4300 CLEVELAND AVENUE,BLUE VALLEY MARKET,PACKAGE,Kansas City,39.047363,-94.540185,64130
28,125 W 135TH STREET,PHILLIPS 66,PACKAGE,Kansas City,38.882983,-94.597673,64145
29,4232 TROOST AVENUE ,KC CARRIAGES,TLS VEHICLE,Kansas City,39.049492,-94.57256600000001,64110
30,8538 NW PRAIRIE VIEW ROAD ,NOODLES & COMPANY,RESTAURANT-BAR,Kansas City,39.24945,-94.661174,64153
31,8905 N SHOAL CREEK PARKWAY ,SHOAL CREEK GOLF COURSE,TAVERN,Kansas City,39.253832,-94.487262,64157
32,9922 HOLMES ROAD ,AFRO BEAT BAR & GRILL,TAVERN,Kansas City,38.94777,-94.582418,64131
33,4545 N BRIGHTON AVENUE,STEVE AND RITA'S ANTOINETTES RESTAURANT,TAVERN,Kansas City,39.17702,-94.521316,64117
34,600 E 63RD STREET ,BROOKSIDE WINE & SPIRITS,PACKAGE,Kansas City,39.014238,-94.59629,64113
35,8019 WORNALL ,TOMMY'S-THE HAPPY PLACE,TAVERN,Kansas City,38.982239,-94.594665,64114
36,1301 WESTPORT ROAD 6411,QUIK TRIP #176,PACKAGE,Kansas City,39.049943,-94.601493,64111
37,1020 WESTPORT ROAD,RECORD BAR,RESTAURANT-BAR,Kansas City,39.04985,-94.598748,64111
38,600 NW 68TH STREET ,WORLD LIQUORS 2,PACKAGE,Kansas City,39.217418,-94.58788,64118
39,10 13TH STREET ,COSENTINO'S DOWNTOWN MARKET,PACKAGE,Kansas City,39.098594,-94.583051,64106
40,5024 NE PARVIN ROAD ,MR LE'S SUSHI,RESTAURANT-BAR,Kansas City,39.167047,-94.52116,64117
41,5010 PARVIN ROAD ,ALAMO RESTAURANT & LOUNGE,RESTAURANT-BAR,Kansas City,39.167047,-94.521271,64117
42,830 SOUTHWEST BLVD ,PALETERIA TROPICANA,SIDEWALK CAFE,Kansas City,39.084509000000004,-94.59424,64108
43,14 W 62ND TERRACE,"MARKET IN BROOKSIDE, THE",PACKAGE,Kansas City,39.014848,-94.58928,64113
44,3407 KENWOOD AVENUE ,KC PHANTOM GROUP,TLS VEHICLE,Kansas City,39.064988,-94.577425,64109
