,business_dba,business_type,location_1,location_1_location,latitude,longitude
5,ONE STOP SHOP,PACKAGE,"{'type': 'Point', 'coordinates': [-94.514571, 39.090294]}",5805 17TH STREET 64126-,39.090294,-94.514571
6,MISSOURI TITLE LOANS 2,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.585915, 39.059078]}",3731 MAIN STREET 64111-,39.059078,-94.585915
8,"JIMMY'S JIGGER/JAZZ, A LOUISIANA KICTHEN",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.606535, 39.057288]}",1823 39TH STREET 64111,39.057288,-94.606535
10,7-ELEVEN STORE #18711C,PACKAGE,"{'type': 'Point', 'coordinates': [-94.520576, 39.076321]}",2636 VAN BRUNT BLVD 64127,39.076321,-94.520576
11,KANSAS CITY BLUES JUKE HOUSE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.562012, 39.091195]}",1700 E 18TH STREET 64108-,39.091195,-94.562012
12,I PHO TOWER.,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.562672, 39.106703]}",1447 INDEPENDENCE 64106-,39.106703,-94.562672
13,BENTON MARKET & GAS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.549674, 39.090695]}",1800 BENTON AVENUE 64127,39.090695,-94.549674
14,IRA COLLINS,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.724298, 38.983891]}",7932 HALSEY STREET 66215-,38.983891,-94.724298
15,VOLTAIRE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.604936, 39.093989]}",1617 GENESSEE STREET 64102-,39.093989,-94.604936
17,MERCEDES BENZ OF KANSAS CITY,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.605958, 38.87616]}",13851 MADISON 64145-,38.87616,-94.605958
18,NTB #676,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.592391, 39.195808]}",700 ENGLEWOOD ROAD 64118-,39.195808,-94.592391
19,L.P.'S AUTOMOTIVE,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.49364, 38.951758]}",8200 E BANNISTER ROAD 64134-,38.951758,-94.49364
20,BB'S LAWNSIDE BAR-B-QUE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.575186, 38.973365]}",1205 E 85TH STREET 64131,38.973365,-94.575186
21,"TOP SPOT, THE",PACKAGE,"{'type': 'Point', 'coordinates': [-94.557116, 39.077572]}",2640 BROOKLYN 64127-,39.077572,-94.557116
23,SAM'S TRANSPORTATION,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.563646, 39.22703]}",1305 NE 74TH STREET 64118-,39.22703,-94.563646
24,SEASONS 52,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.590893, 39.040677]}",340 WARD PARKWAY 64112-,39.040677,-94.590893
25,Q39,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.598479, 39.057067]}",1000 W 39TH 64111-,39.057067,-94.598479
26,EXECUTIVE LIMO,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.676155, 39.267951]}",9701 N CONANT AVENUE 64153-,39.267951,-94.676155
27,BROWNES MARKET & DELI,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.592501, 39.067554]}",3300 PENNSYLVANIA AVENUE 64111,39.067554,-94.592501
28,UNDERDOG WINE CO.,PACKAGE,"{'type': 'Point', 'coordinates': [-94.583897, 39.027508]}",319 E 55TH STREET 64113-,39.027508,-94.583897
29,"EDGE OF HELL, THE",AMUSEMENT,"{'type': 'Point', 'coordinates': [-94.600119, 39.100738]}",1300 W 12TH STREET 64101-,39.100738,-94.600119
30,SHERATON KC GIFT SHOP,PACKAGE,"{'type': 'Point', 'coordinates': [-94.580455, 39.085018]}",2345 MCGEE 64108-,39.085018,-94.580455
31,WAFFLE HOUSE #1006,AMUSEMENT DEVICE EXHIBITOR,"{'type': 'Point', 'coordinates': [-94.50206, 39.130288]}",6840 E FRONT STREET 64120-,39.130288,-94.50206
32,LOHR DISTRIBUTING COMPANY,WHOLESALER,"{'type': 'Point', 'coordinates': [-94.513743, 39.13896]}",1681 N TOPPING AVENUE 64120-,39.13896,-94.513743
33,KAUFFMAN STADIUM-(ARAMARK SPORTS & ENTERTAINMENT SERVICES),RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.482822, 39.051497]}",ONE ROYAL WAY 64129-,39.051497,-94.482822
34,HAFKEMEYER MOTORS,TIRE DEALER,"{'type': 'Point', 'coordinates': [-94.591476, 38.998729]}",7115 WYANDOTTE STREET 64114-,38.998729,-94.591476
36,KANSAS CITY ROSE SOCIETY,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.594371, 39.037231]}",5200 PENNSYLVANIA 64112-,39.037231,-94.594371
37,BLUE VALLEY MARKET,PACKAGE,"{'type': 'Point', 'coordinates': [-94.540185, 39.047363]}",4300 CLEVELAND AVENUE 64130,39.047363,-94.540185
38,PHILLIPS 66,PACKAGE,"{'type': 'Point', 'coordinates': [-94.597673, 38.882983]}",125 W 135TH STREET 64145,38.882983,-94.597673
39,KC CARRIAGES,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.572566, 39.049492]}",4232 TROOST AVENUE 64110-,39.049492,-94.572566
40,NOODLES & COMPANY,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.661174, 39.24945]}",8538 NW PRAIRIE VIEW ROAD 64153-,39.24945,-94.661174
41,SHOAL CREEK GOLF COURSE,TAVERN,"{'type': 'Point', 'coordinates': [-94.487262, 39.253832]}",8905 N SHOAL CREEK PARKWAY 64157-,39.253832,-94.487262
43,AFRO BEAT BAR & GRILL,TAVERN,"{'type': 'Point', 'coordinates': [-94.582418, 38.94777]}",9922 HOLMES ROAD 64131-,38.94777,-94.582418
44,STEVE AND RITA'S ANTOINETTES RESTAURANT,TAVERN,"{'type': 'Point', 'coordinates': [-94.521316, 39.17702]}",4545 N BRIGHTON AVENUE 64117,39.17702,-94.521316
45,BROOKSIDE WINE & SPIRITS,PACKAGE,"{'type': 'Point', 'coordinates': [-94.59629, 39.014238]}",600 E 63RD STREET 64113-,39.014238,-94.59629
46,TOMMY'S-THE HAPPY PLACE,TAVERN,"{'type': 'Point', 'coordinates': [-94.594665, 38.982239]}",8019 WORNALL 64114-,38.982239,-94.594665
47,QUIK TRIP #176,PACKAGE,"{'type': 'Point', 'coordinates': [-94.601493, 39.049943]}",1301 WESTPORT ROAD 64111-4226,39.049943,-94.601493
48,RECORD BAR,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.598748, 39.04985]}",1020 WESTPORT ROAD 64111,39.04985,-94.598748
49,WORLD LIQUORS 2,PACKAGE,"{'type': 'Point', 'coordinates': [-94.58788, 39.217418]}",600 NW 68TH STREET 64118-,39.217418,-94.58788
50,COSENTINO'S DOWNTOWN MARKET,PACKAGE,"{'type': 'Point', 'coordinates': [-94.583051, 39.098594]}",10 13TH STREET 64106-,39.098594,-94.583051
51,MR LE'S SUSHI,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.52116, 39.167047]}",5024 NE PARVIN ROAD 64117-,39.167047,-94.52116
52,ALAMO RESTAURANT & LOUNGE,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.521271, 39.167047]}",5010 PARVIN ROAD 64117-,39.167047,-94.521271
53,PALETERIA TROPICANA,SIDEWALK CAFE,"{'type': 'Point', 'coordinates': [-94.59424, 39.084509]}",830 SOUTHWEST BLVD 64108-,39.084509,-94.59424
54,"MARKET IN BROOKSIDE, THE",PACKAGE,"{'type': 'Point', 'coordinates': [-94.58928, 39.014848]}",14 W 62ND TERRACE 64113,39.014848,-94.58928
55,KC PHANTOM GROUP,TLS VEHICLE,"{'type': 'Point', 'coordinates': [-94.577425, 39.064988]}",3407 KENWOOD AVENUE 64109-,39.064988,-94.577425
56,BANNISTER FOOD MART,PACKAGE,"{'type': 'Point', 'coordinates': [-94.526125, 38.95309]}",5501 E BANNISTER ROAD 64137-,38.95309,-94.526125
57,HARPOS,RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.59109, 39.052469]}",4109 PENNSYLVANIA AVENUE 64111,39.052469,-94.59109
58,ROSWOLD FOUNDATION FOR INJURED CHILDREN,NON PROFIT ORGINIZATION,"{'type': 'Point', 'coordinates': [-94.580881, 39.100932]}",1102 GRAND BLVD 64106-,39.100932,-94.580881
59,SPEEDY CASH 2,SHORT TERM LOAN,"{'type': 'Point', 'coordinates': [-94.571694, 39.013124]}",1331 E 63RD STREET 64110-,39.013124,-94.571694
60,"BROOKSIDER BAR & GRILL,THE",RESTAURANT-BAR,"{'type': 'Point', 'coordinates': [-94.590765, 39.012904]}",6330 BROOKSIDE PLAZA 64113-,39.012904,-94.590765
