,category,freqCat,city,months
0,good,2.633969118982743,Washington DC,1
1,good,2.3375594294770203,Washington DC,2
2,good,1.7971014492753623,Washington DC,3
3,good,5.8687258687258685,Washington DC,4
4,good,4.11946446961895,Washington DC,5
5,good,3.3957033957033955,Washington DC,6
6,good,1.39694254085398,Washington DC,10
7,good,1.5300230946882216,Washington DC,11
8,good,2.336448598130841,Washington DC,12
9,service,18.392370572207085,Washington DC,1
10,service,17.868462757527734,Washington DC,2
11,service,23.391304347826086,Washington DC,3
12,service,16.756756756756758,Washington DC,4
13,service,19.129763130793,Washington DC,5
14,service,19.81981981981982,Washington DC,6
15,service,13.442277279915658,Washington DC,10
16,service,19.717090069284065,Washington DC,11
17,service,24.232309746328436,Washington DC,12
18,work,78.97366030881017,Washington DC,1
19,work,79.79397781299524,Washington DC,2
20,work,74.81159420289855,Washington DC,3
21,work,77.37451737451737,Washington DC,4
22,work,76.75077239958806,Washington DC,5
23,work,76.78447678447678,Washington DC,6
24,work,85.16078017923037,Washington DC,10
25,work,78.75288683602771,Washington DC,11
26,work,73.43124165554073,Washington DC,12
27,good,4.036697247706423,Baton Rouge,1
28,good,1.4830508474576272,Baton Rouge,2
29,good,2.293577981651376,Baton Rouge,3
30,good,1.3059701492537312,Baton Rouge,4
31,good,6.594594594594596,Baton Rouge,5
32,good,1.5384615384615385,Baton Rouge,6
33,good,1.289134438305709,Baton Rouge,7
34,good,0.7731958762886598,Baton Rouge,8
35,service,18.89908256880734,Baton Rouge,1
36,service,20.127118644067796,Baton Rouge,2
37,service,12.385321100917432,Baton Rouge,3
38,service,15.671641791044777,Baton Rouge,4
39,service,13.837837837837839,Baton Rouge,5
40,service,9.230769230769232,Baton Rouge,6
41,service,14.3646408839779,Baton Rouge,7
42,service,10.824742268041238,Baton Rouge,8
43,work,50.825688073394495,Baton Rouge,1
44,work,44.70338983050847,Baton Rouge,2
45,work,54.74006116207951,Baton Rouge,3
46,work,57.276119402985074,Baton Rouge,4
47,work,62.810810810810814,Baton Rouge,5
48,work,65.64102564102564,Baton Rouge,6
49,work,57.826887661141804,Baton Rouge,7
50,work,69.58762886597938,Baton Rouge,8
51,good,30.732228754676644,Miami,1
52,good,32.5118839129347,Miami,2
53,good,38.94888408927286,Miami,3
54,good,39.43098988948977,Miami,4
55,good,40.44841229583038,Miami,5
56,good,36.69981354878807,Miami,6
57,service,8.67183324425441,Miami,1
58,service,8.706529897423067,Miami,2
59,service,7.754808186773629,Miami,3
60,service,7.500587820362098,Miami,4
61,service,6.249365932839606,Miami,5
62,service,7.209446861404599,Miami,6
63,work,60.59593800106895,Miami,1
64,work,58.78158618964223,Miami,2
65,work,53.29630772395352,Miami,3
66,work,53.068422290148135,Miami,4
67,work,53.30222177133002,Miami,5
68,work,56.090739589807335,Miami,6
